disease_class,temperature_celsius,soil_moisture_percent,soil_ph,soil_nitrogen_ppm
Tomato___Bacterial_spot,29.16,87.36,5.87,111.6
Tomato___Bacterial_spot,29.18,89.02,6.16,101.7
Tomato___Bacterial_spot,29.6,89.27,6.84,72.68
Tomato___Bacterial_spot,28.78,91.49,6.95,122.32
Tomato___Bacterial_spot,27.8,93.42,6.73,117.26
Tomato___Bacterial_spot,29.84,90.15,6.88,111.11
Tomato___Bacterial_spot,28.92,91.66,6.55,93.14
Tomato___Bacterial_spot,27.36,90.65,6.58,128.1
Tomato___Bacterial_spot,29.46,83.89,6.22,100.95
Tomato___Bacterial_spot,27.95,91.18,6.88,122.11
Tomato___Bacterial_spot,33.83,87.95,7.03,105.79
Tomato___Bacterial_spot,30.46,85.62,6.71,120.99
Tomato___Bacterial_spot,25.18,95.2,6.21,114.77
Tomato___Bacterial_spot,29.87,87.93,6.45,116.79
Tomato___Bacterial_spot,26.57,94.79,6.24,83.29
Tomato___Bacterial_spot,25.92,90.29,6.41,111.51
Tomato___Bacterial_spot,29.21,87.59,6.55,116.77
Tomato___Bacterial_spot,30.43,93.65,6.25,100.51
Tomato___Bacterial_spot,31.52,83.23,6.52,117.37
Tomato___Bacterial_spot,27.6,92.91,6.77,134.16
Tomato___Bacterial_spot,27.54,83.6,6.66,137.56
Tomato___Bacterial_spot,32.19,92.16,6.35,123.36
Tomato___Bacterial_spot,27.93,93.0,6.5,115.73
Tomato___Bacterial_spot,28.39,83.65,6.64,132.93
Tomato___Bacterial_spot,22.86,95.36,7.07,91.35
Tomato___Bacterial_spot,33.12,86.82,6.85,98.37
Tomato___Bacterial_spot,28.25,86.58,6.38,120.02
Tomato___Bacterial_spot,29.18,95.63,6.83,131.28
Tomato___Bacterial_spot,28.62,84.18,6.96,117.69
Tomato___Bacterial_spot,30.16,87.97,6.59,89.79
Tomato___Bacterial_spot,30.41,87.87,6.52,114.55
Tomato___Bacterial_spot,27.98,89.94,6.15,125.89
Tomato___Bacterial_spot,31.3,94.62,6.96,131.8
Tomato___Bacterial_spot,29.81,96.36,6.83,102.86
Tomato___Bacterial_spot,25.16,86.98,6.65,128.77
Tomato___Bacterial_spot,29.89,89.72,6.36,128.12
Tomato___Bacterial_spot,28.53,90.79,6.12,94.96
Tomato___Bacterial_spot,29.42,89.94,6.53,121.48
Tomato___Bacterial_spot,31.27,87.87,6.71,101.66
Tomato___Bacterial_spot,25.91,95.78,6.52,127.03
Tomato___Bacterial_spot,26.64,91.39,6.74,116.47
Tomato___Bacterial_spot,29.89,90.46,6.88,98.9
Tomato___Bacterial_spot,31.85,94.17,7.04,144.79
Tomato___Bacterial_spot,30.13,90.53,6.88,128.52
Tomato___Bacterial_spot,29.35,92.17,6.33,137.74
Tomato___Bacterial_spot,28.01,95.1,6.76,111.76
Tomato___Bacterial_spot,31.46,89.92,7.1,109.22
Tomato___Bacterial_spot,32.1,93.05,6.65,131.96
Tomato___Bacterial_spot,26.4,89.49,6.66,117.8
Tomato___Bacterial_spot,31.28,87.87,6.82,139.77
Tomato___Bacterial_spot,30.26,88.52,6.61,129.3
Tomato___Bacterial_spot,28.8,90.38,6.67,128.69
Tomato___Bacterial_spot,25.58,88.61,6.69,119.43
Tomato___Bacterial_spot,30.12,91.34,6.98,116.65
Tomato___Bacterial_spot,29.03,83.46,6.21,133.98
Tomato___Bacterial_spot,29.1,84.45,6.93,140.8
Tomato___Bacterial_spot,27.19,87.18,7.22,125.7
Tomato___Bacterial_spot,31.84,86.57,6.72,120.6
Tomato___Bacterial_spot,33.02,90.17,6.52,112.03
Tomato___Bacterial_spot,28.5,83.87,6.94,113.18
Tomato___Bacterial_spot,26.24,86.23,7.15,109.83
Tomato___Bacterial_spot,31.42,90.51,6.99,118.98
Tomato___Bacterial_spot,26.45,91.25,6.65,127.28
Tomato___Bacterial_spot,31.22,90.06,6.45,126.92
Tomato___Bacterial_spot,31.02,96.17,7.01,120.64
Tomato___Bacterial_spot,25.33,88.25,7.32,129.03
Tomato___Bacterial_spot,26.0,86.27,6.81,111.87
Tomato___Bacterial_spot,31.6,91.38,6.33,120.92
Tomato___Bacterial_spot,34.29,93.04,6.71,95.52
Tomato___Bacterial_spot,27.21,89.06,6.09,108.43
Tomato___Bacterial_spot,28.21,82.19,6.47,143.08
Tomato___Bacterial_spot,28.03,85.29,6.57,105.39
Tomato___Bacterial_spot,30.49,85.19,6.59,85.73
Tomato___Bacterial_spot,28.25,87.97,6.76,129.16
Tomato___Bacterial_spot,28.35,91.74,6.69,122.3
Tomato___Bacterial_spot,29.65,86.53,6.32,121.76
Tomato___Bacterial_spot,30.57,90.53,6.69,145.14
Tomato___Bacterial_spot,28.73,93.77,6.73,113.96
Tomato___Bacterial_spot,29.0,93.4,6.89,102.92
Tomato___Bacterial_spot,29.04,83.29,6.11,130.02
Tomato___Bacterial_spot,30.8,90.81,7.12,84.19
Tomato___Bacterial_spot,29.24,89.91,6.67,137.65
Tomato___Bacterial_spot,27.79,87.97,6.6,109.41
Tomato___Bacterial_spot,29.94,96.32,6.56,136.68
Tomato___Bacterial_spot,28.89,88.83,6.69,147.93
Tomato___Bacterial_spot,29.32,93.45,6.37,126.85
Tomato___Bacterial_spot,26.73,85.81,6.96,119.0
Tomato___Bacterial_spot,28.49,92.79,6.48,108.27
Tomato___Bacterial_spot,26.02,96.67,6.84,159.92
Tomato___Bacterial_spot,31.02,90.93,6.1,125.65
Tomato___Bacterial_spot,29.5,94.46,6.46,115.67
Tomato___Bacterial_spot,28.52,92.25,6.36,135.86
Tomato___Bacterial_spot,28.18,91.54,6.5,130.61
Tomato___Bacterial_spot,31.05,86.45,6.14,116.83
Tomato___Bacterial_spot,26.43,89.06,6.7,128.55
Tomato___Bacterial_spot,28.45,88.76,6.55,92.35
Tomato___Bacterial_spot,30.83,86.0,6.73,126.59
Tomato___Bacterial_spot,26.2,85.91,6.65,132.03
Tomato___Bacterial_spot,26.93,86.52,6.63,128.05
Tomato___Bacterial_spot,30.13,97.45,6.25,133.83
Tomato___Bacterial_spot,31.8,87.28,6.64,95.48
Tomato___Bacterial_spot,27.49,88.47,6.22,122.46
Tomato___Bacterial_spot,27.92,91.76,6.81,145.53
Tomato___Bacterial_spot,28.64,86.65,6.67,119.24
Tomato___Bacterial_spot,28.47,84.53,6.26,132.96
Tomato___Bacterial_spot,28.89,81.56,6.89,90.04
Tomato___Bacterial_spot,31.42,85.07,6.69,135.54
Tomato___Bacterial_spot,31.21,89.88,6.54,134.57
Tomato___Bacterial_spot,33.21,89.97,6.53,105.26
Tomato___Bacterial_spot,28.86,92.4,6.75,135.02
Tomato___Bacterial_spot,25.98,95.44,6.59,118.45
Tomato___Bacterial_spot,26.67,88.48,6.56,133.52
Tomato___Bacterial_spot,27.62,89.57,6.81,122.95
Tomato___Bacterial_spot,31.46,91.65,6.61,120.5
Tomato___Bacterial_spot,28.66,93.64,6.1,115.95
Tomato___Bacterial_spot,30.42,92.71,6.77,118.61
Tomato___Bacterial_spot,28.17,94.91,6.99,117.08
Tomato___Bacterial_spot,31.76,87.19,6.36,103.55
Tomato___Bacterial_spot,28.19,93.86,6.54,115.67
Tomato___Bacterial_spot,30.64,86.93,7.29,154.01
Tomato___Bacterial_spot,31.04,86.72,6.67,100.91
Tomato___Bacterial_spot,29.92,89.07,6.67,124.56
Tomato___Bacterial_spot,27.36,83.58,6.76,100.96
Tomato___Bacterial_spot,32.39,95.22,6.88,119.87
Tomato___Bacterial_spot,26.33,85.28,6.5,132.43
Tomato___Bacterial_spot,28.61,88.67,6.54,130.57
Tomato___Bacterial_spot,29.69,96.16,6.48,106.61
Tomato___Bacterial_spot,28.59,94.31,6.83,114.02
Tomato___Bacterial_spot,30.8,90.33,6.88,148.9
Tomato___Bacterial_spot,30.9,92.82,6.73,135.74
Tomato___Bacterial_spot,26.31,87.56,6.52,134.44
Tomato___Bacterial_spot,29.84,87.2,6.34,136.62
Tomato___Bacterial_spot,25.98,92.28,6.69,129.66
Tomato___Bacterial_spot,30.12,85.52,6.51,130.46
Tomato___Bacterial_spot,28.9,86.76,6.81,116.19
Tomato___Bacterial_spot,27.0,88.32,6.27,109.99
Tomato___Bacterial_spot,29.99,86.14,6.81,137.29
Tomato___Bacterial_spot,31.19,96.67,6.42,117.47
Tomato___Bacterial_spot,29.44,81.6,6.31,127.15
Tomato___Bacterial_spot,26.8,93.09,6.73,131.97
Tomato___Bacterial_spot,28.39,97.41,6.21,100.64
Tomato___Bacterial_spot,29.09,93.06,7.41,159.78
Tomato___Bacterial_spot,29.85,89.3,6.59,114.06
Tomato___Bacterial_spot,32.21,93.41,6.33,128.38
Tomato___Bacterial_spot,27.46,86.67,6.73,128.61
Tomato___Bacterial_spot,29.49,87.31,6.76,119.1
Tomato___Bacterial_spot,29.39,94.3,6.64,128.14
Tomato___Bacterial_spot,29.78,93.73,6.59,111.31
Tomato___Bacterial_spot,31.07,89.06,6.85,106.94
Tomato___Bacterial_spot,29.42,98.74,6.6,137.35
Tomato___Bacterial_spot,25.98,91.44,6.6,129.63
Tomato___Bacterial_spot,30.76,92.02,6.33,117.55
Tomato___Bacterial_spot,29.1,85.82,6.7,124.73
Tomato___Bacterial_spot,32.03,92.22,6.32,116.25
Tomato___Bacterial_spot,29.48,90.39,6.39,125.19
Tomato___Bacterial_spot,27.13,84.31,7.05,136.27
Tomato___Bacterial_spot,31.14,85.91,6.37,126.72
Tomato___Bacterial_spot,30.92,91.07,6.66,132.55
Tomato___Bacterial_spot,27.18,86.74,6.59,130.05
Tomato___Bacterial_spot,33.0,89.04,6.69,120.84
Tomato___Bacterial_spot,27.99,89.92,6.46,130.14
Tomato___Bacterial_spot,28.77,92.89,7.05,121.36
Tomato___Bacterial_spot,25.32,91.85,6.59,139.7
Tomato___Bacterial_spot,29.01,92.43,6.95,109.57
Tomato___Bacterial_spot,27.32,85.41,6.6,107.68
Tomato___Bacterial_spot,30.3,87.71,6.66,135.18
Tomato___Bacterial_spot,27.94,89.68,7.02,89.57
Tomato___Bacterial_spot,33.56,91.16,6.26,126.37
Tomato___Bacterial_spot,28.51,89.71,6.61,111.5
Tomato___Bacterial_spot,29.07,88.37,6.31,137.95
Tomato___Bacterial_spot,31.3,87.64,6.36,144.59
Tomato___Bacterial_spot,24.42,91.93,6.45,109.94
Tomato___Bacterial_spot,26.41,91.83,6.4,103.1
Tomato___Bacterial_spot,28.67,95.74,6.75,110.15
Tomato___Bacterial_spot,28.25,85.95,6.19,125.65
Tomato___Bacterial_spot,27.71,90.1,6.85,127.16
Tomato___Bacterial_spot,25.02,92.45,6.64,126.96
Tomato___Bacterial_spot,27.11,88.57,6.54,105.09
Tomato___Bacterial_spot,28.36,89.45,6.74,109.74
Tomato___Bacterial_spot,29.62,97.35,7.04,111.44
Tomato___Bacterial_spot,28.22,90.3,6.68,113.11
Tomato___Bacterial_spot,28.3,94.55,6.61,126.4
Tomato___Bacterial_spot,31.04,88.48,6.58,89.99
Tomato___Bacterial_spot,29.47,84.4,6.89,104.97
Tomato___Bacterial_spot,29.99,89.15,6.27,110.9
Tomato___Early_blight,28.64,83.08,6.3,69.65
Tomato___Early_blight,25.64,91.14,5.93,66.0
Tomato___Early_blight,27.7,86.55,5.56,86.32
Tomato___Early_blight,24.24,86.18,6.56,78.27
Tomato___Early_blight,23.63,82.71,5.91,85.02
Tomato___Early_blight,27.47,88.08,5.48,87.96
Tomato___Early_blight,27.09,91.52,5.74,81.61
Tomato___Early_blight,25.46,80.96,6.3,92.71
Tomato___Early_blight,23.09,81.45,5.73,71.77
Tomato___Early_blight,25.83,89.1,6.51,76.51
Tomato___Early_blight,27.16,85.95,6.47,83.11
Tomato___Early_blight,26.32,85.69,6.36,85.58
Tomato___Early_blight,25.59,84.28,6.23,80.65
Tomato___Early_blight,26.21,76.69,5.85,93.5
Tomato___Early_blight,29.31,84.27,6.35,78.86
Tomato___Early_blight,27.68,97.52,6.29,85.72
Tomato___Early_blight,25.48,75.83,5.73,80.04
Tomato___Early_blight,29.65,88.77,6.31,85.29
Tomato___Early_blight,23.18,86.94,5.6,77.42
Tomato___Early_blight,24.63,81.23,6.02,76.88
Tomato___Early_blight,23.93,88.47,6.28,70.72
Tomato___Early_blight,29.75,89.4,5.63,67.58
Tomato___Early_blight,28.34,81.0,5.94,65.18
Tomato___Early_blight,26.73,91.6,5.83,72.73
Tomato___Early_blight,22.01,82.98,6.05,91.73
Tomato___Early_blight,25.34,75.26,6.41,75.82
Tomato___Early_blight,27.48,89.94,6.47,71.13
Tomato___Early_blight,27.22,87.09,5.54,70.26
Tomato___Early_blight,26.27,87.15,6.03,77.92
Tomato___Early_blight,27.54,86.55,6.0,68.79
Tomato___Early_blight,28.55,89.04,6.43,76.66
Tomato___Early_blight,25.35,76.23,5.67,87.45
Tomato___Early_blight,22.47,82.14,6.1,79.69
Tomato___Early_blight,26.43,86.58,5.85,72.11
Tomato___Early_blight,27.45,87.74,5.97,63.18
Tomato___Early_blight,23.14,86.94,6.68,91.21
Tomato___Early_blight,27.44,75.1,6.15,74.55
Tomato___Early_blight,24.75,86.41,6.06,70.03
Tomato___Early_blight,27.02,94.03,5.82,71.57
Tomato___Early_blight,27.84,79.86,5.97,55.19
Tomato___Early_blight,25.17,89.94,6.25,71.7
Tomato___Early_blight,26.55,89.34,6.16,51.77
Tomato___Early_blight,25.18,73.95,6.22,59.74
Tomato___Early_blight,29.42,80.19,6.11,69.04
Tomato___Early_blight,25.91,94.81,5.75,71.3
Tomato___Early_blight,25.93,82.5,6.07,71.72
Tomato___Early_blight,20.59,88.15,6.03,72.67
Tomato___Early_blight,23.82,90.18,5.85,79.35
Tomato___Early_blight,24.67,82.92,5.54,76.7
Tomato___Early_blight,27.33,77.93,6.24,76.98
Tomato___Early_blight,25.6,87.59,6.43,68.48
Tomato___Early_blight,24.47,85.18,6.37,56.04
Tomato___Early_blight,26.66,85.17,6.12,97.21
Tomato___Early_blight,25.71,86.21,5.98,64.86
Tomato___Early_blight,27.47,83.11,6.07,86.24
Tomato___Early_blight,25.17,86.56,6.2,70.31
Tomato___Early_blight,26.07,80.98,5.98,85.55
Tomato___Early_blight,25.86,84.62,5.82,83.24
Tomato___Early_blight,26.69,80.74,6.45,73.35
Tomato___Early_blight,28.09,84.36,6.27,79.44
Tomato___Early_blight,29.43,80.67,5.92,89.77
Tomato___Early_blight,26.23,78.78,5.84,77.3
Tomato___Early_blight,26.3,84.95,5.55,76.59
Tomato___Early_blight,28.42,80.58,5.92,67.6
Tomato___Early_blight,26.67,83.86,5.85,81.7
Tomato___Early_blight,24.64,78.17,6.54,80.3
Tomato___Early_blight,26.92,86.17,6.11,64.79
Tomato___Early_blight,26.58,97.13,5.98,78.1
Tomato___Early_blight,25.92,86.61,5.82,97.86
Tomato___Early_blight,25.2,88.56,5.98,60.8
Tomato___Early_blight,26.57,82.82,6.15,75.13
Tomato___Early_blight,25.55,90.13,5.81,58.58
Tomato___Early_blight,26.66,88.85,6.16,80.81
Tomato___Early_blight,25.39,82.74,6.28,73.79
Tomato___Early_blight,25.86,80.11,6.33,92.49
Tomato___Early_blight,30.38,86.75,5.67,73.07
Tomato___Early_blight,25.87,80.74,5.67,74.82
Tomato___Early_blight,25.92,86.26,5.77,60.91
Tomato___Early_blight,25.41,79.67,6.21,71.3
Tomato___Early_blight,27.28,88.13,6.05,80.61
Tomato___Early_blight,24.07,81.26,5.95,92.65
Tomato___Early_blight,26.57,83.71,6.19,52.17
Tomato___Early_blight,24.52,88.97,6.03,83.02
Tomato___Early_blight,25.53,82.58,5.59,75.21
Tomato___Early_blight,24.87,89.41,6.05,78.55
Tomato___Early_blight,25.28,91.99,6.19,63.88
Tomato___Early_blight,27.06,78.05,5.95,79.16
Tomato___Early_blight,24.52,89.39,6.36,83.12
Tomato___Early_blight,25.83,77.38,6.21,75.06
Tomato___Early_blight,25.73,83.89,6.27,81.07
Tomato___Early_blight,23.06,86.88,6.08,77.59
Tomato___Early_blight,25.76,82.72,6.49,73.69
Tomato___Early_blight,26.52,77.84,5.79,69.91
Tomato___Early_blight,22.7,80.01,6.03,101.68
Tomato___Early_blight,24.32,81.0,5.95,85.64
Tomato___Early_blight,27.26,89.55,6.54,76.09
Tomato___Early_blight,22.25,88.85,6.15,62.73
Tomato___Early_blight,25.5,85.8,5.61,86.41
Tomato___Early_blight,25.98,91.28,6.91,62.74
Tomato___Early_blight,26.39,84.3,5.44,80.87
Tomato___Early_blight,27.47,88.87,5.88,86.98
Tomato___Early_blight,26.76,87.07,6.02,76.58
Tomato___Early_blight,26.06,87.84,6.11,75.37
Tomato___Early_blight,24.77,86.97,5.99,99.55
Tomato___Early_blight,22.82,81.06,6.34,79.17
Tomato___Early_blight,26.59,84.18,5.93,73.63
Tomato___Early_blight,26.69,85.71,5.75,90.85
Tomato___Early_blight,27.46,81.96,5.83,77.4
Tomato___Early_blight,25.38,87.93,5.89,64.97
Tomato___Early_blight,26.04,85.6,6.07,56.7
Tomato___Early_blight,25.78,86.46,6.19,78.16
Tomato___Early_blight,23.74,89.53,6.52,73.97
Tomato___Early_blight,29.98,90.53,6.07,75.86
Tomato___Early_blight,28.58,79.32,6.06,58.5
Tomato___Early_blight,24.41,93.92,6.24,81.39
Tomato___Early_blight,28.36,78.35,5.93,65.53
Tomato___Early_blight,27.48,88.14,6.08,90.68
Tomato___Early_blight,25.51,78.78,6.43,82.1
Tomato___Early_blight,27.83,88.84,6.29,89.19
Tomato___Early_blight,27.86,87.4,5.56,58.19
Tomato___Early_blight,26.27,78.0,6.18,79.83
Tomato___Early_blight,24.54,82.69,5.93,70.37
Tomato___Early_blight,28.63,86.0,6.05,64.66
Tomato___Early_blight,26.92,85.88,5.89,50.96
Tomato___Early_blight,27.81,83.99,5.9,82.5
Tomato___Early_blight,26.73,90.69,6.14,59.06
Tomato___Early_blight,26.37,86.9,6.09,65.08
Tomato___Early_blight,21.67,82.19,5.95,64.56
Tomato___Early_blight,27.3,83.46,5.77,86.82
Tomato___Early_blight,25.15,80.95,5.54,83.13
Tomato___Early_blight,23.83,87.18,6.14,89.95
Tomato___Early_blight,27.25,81.46,5.82,77.51
Tomato___Early_blight,27.22,85.52,5.78,64.09
Tomato___Early_blight,28.4,85.49,6.04,66.5
Tomato___Early_blight,26.2,91.62,5.64,87.7
Tomato___Early_blight,24.77,84.77,5.59,67.51
Tomato___Early_blight,26.83,84.0,6.41,80.77
Tomato___Early_blight,27.84,81.88,6.76,59.46
Tomato___Early_blight,26.04,85.96,5.74,52.79
Tomato___Early_blight,23.85,82.24,6.12,84.26
Tomato___Early_blight,27.62,91.06,6.08,70.79
Tomato___Early_blight,27.93,80.23,5.91,82.12
Tomato___Early_blight,25.22,84.78,6.02,65.42
Tomato___Early_blight,26.44,80.75,6.0,64.48
Tomato___Early_blight,26.88,81.1,5.6,78.42
Tomato___Early_blight,24.28,86.4,6.18,80.76
Tomato___Early_blight,24.13,91.59,5.81,65.37
Tomato___Early_blight,25.57,91.52,6.53,77.69
Tomato___Early_blight,28.6,81.98,6.22,67.0
Tomato___Early_blight,26.09,82.6,5.95,74.59
Tomato___Early_blight,24.74,92.2,6.02,64.37
Tomato___Early_blight,25.0,86.61,5.79,83.83
Tomato___Early_blight,24.32,80.33,5.75,67.54
Tomato___Early_blight,28.06,81.04,5.9,79.96
Tomato___Early_blight,26.93,82.49,6.14,90.7
Tomato___Early_blight,27.84,81.05,6.04,73.76
Tomato___Early_blight,24.99,80.87,6.05,92.85
Tomato___Early_blight,23.13,90.63,5.77,54.0
Tomato___Early_blight,25.26,88.6,6.01,75.4
Tomato___Early_blight,28.6,80.78,6.07,80.11
Tomato___Early_blight,27.36,82.89,6.39,79.95
Tomato___Early_blight,24.24,80.6,6.08,68.09
Tomato___Early_blight,25.15,88.09,6.17,68.4
Tomato___Early_blight,26.31,86.97,6.09,80.25
Tomato___Early_blight,24.87,84.24,6.11,64.8
Tomato___Early_blight,26.02,82.15,5.65,68.88
Tomato___Early_blight,28.45,78.43,6.11,82.85
Tomato___Early_blight,24.91,94.0,5.73,67.35
Tomato___Early_blight,29.96,90.35,6.27,79.74
Tomato___Early_blight,25.97,74.94,5.87,58.61
Tomato___Early_blight,29.18,80.92,5.67,64.11
Tomato___Early_blight,25.8,87.33,6.16,81.08
Tomato___Early_blight,27.18,89.54,5.16,61.92
Tomato___Early_blight,21.94,80.74,5.81,70.02
Tomato___Early_blight,26.71,90.03,6.12,79.93
Tomato___Early_blight,26.98,88.01,5.53,76.64
Tomato___Early_blight,25.44,87.03,5.99,67.56
Tomato___Early_blight,26.75,83.04,5.84,80.36
Tomato___Early_blight,26.26,79.69,6.05,84.8
Tomato___Early_blight,24.4,86.92,5.82,77.1
Tomato___Early_blight,26.71,86.41,6.54,59.59
Tomato___Early_blight,29.14,78.56,5.53,83.06
Tomato___Early_blight,23.74,86.91,6.24,81.89
Tomato___Early_blight,27.99,79.5,5.18,68.75
Tomato___Early_blight,26.51,86.12,5.48,75.3
Tomato___Early_blight,25.82,74.58,5.38,71.89
Tomato___Early_blight,24.61,89.25,5.93,69.33
Tomato___Early_blight,26.75,86.72,5.94,78.79
Tomato___Early_blight,27.22,78.13,5.97,65.59
Tomato___Early_blight,23.45,79.28,6.95,78.33
Tomato___Early_blight,24.21,77.5,5.87,69.45
Tomato___Early_blight,28.53,85.51,5.57,82.09
Tomato___Early_blight,23.18,78.0,5.96,61.76
Tomato___Early_blight,25.74,71.35,5.92,70.07
Tomato___Early_blight,27.6,92.04,5.93,49.44
Tomato___Early_blight,24.45,88.53,6.09,81.86
Tomato___Early_blight,23.65,88.66,6.12,71.84
Tomato___Early_blight,26.38,79.07,6.36,79.63
Tomato___Early_blight,23.46,86.53,6.14,80.4
Tomato___Early_blight,27.0,80.81,5.75,72.19
Tomato___Late_blight,16.69,90.73,6.0,120.31
Tomato___Late_blight,21.25,95.78,6.53,100.32
Tomato___Late_blight,15.91,96.07,6.6,102.24
Tomato___Late_blight,18.23,94.13,6.1,75.31
Tomato___Late_blight,20.73,85.47,6.04,97.74
Tomato___Late_blight,16.58,90.95,6.31,107.41
Tomato___Late_blight,20.88,95.2,6.23,106.21
Tomato___Late_blight,17.57,96.1,6.12,90.96
Tomato___Late_blight,23.57,90.89,5.86,100.13
Tomato___Late_blight,17.53,97.44,6.05,95.59
Tomato___Late_blight,18.28,90.42,5.97,87.61
Tomato___Late_blight,20.47,95.09,6.23,107.92
Tomato___Late_blight,15.07,88.64,6.29,104.31
Tomato___Late_blight,18.36,96.48,6.38,101.07
Tomato___Late_blight,20.34,92.69,6.42,102.63
Tomato___Late_blight,18.88,96.98,6.19,100.47
Tomato___Late_blight,21.28,92.32,6.45,98.22
Tomato___Late_blight,19.59,91.33,6.36,104.15
Tomato___Late_blight,20.88,92.39,6.0,103.53
Tomato___Late_blight,20.97,88.19,6.19,102.81
Tomato___Late_blight,17.13,94.34,6.29,96.88
Tomato___Late_blight,22.79,91.58,6.41,106.35
Tomato___Late_blight,18.92,93.26,6.58,103.15
Tomato___Late_blight,17.25,89.15,6.23,92.62
Tomato___Late_blight,18.1,94.38,6.45,113.0
Tomato___Late_blight,18.27,94.73,6.6,111.37
Tomato___Late_blight,19.93,94.39,5.96,95.45
Tomato___Late_blight,15.67,98.67,6.16,111.24
Tomato___Late_blight,20.1,98.38,6.36,86.3
Tomato___Late_blight,16.43,100.0,6.4,93.7
Tomato___Late_blight,16.49,94.65,6.46,105.11
Tomato___Late_blight,18.8,96.13,6.15,106.88
Tomato___Late_blight,20.19,94.42,6.0,100.3
Tomato___Late_blight,18.83,91.11,6.14,100.46
Tomato___Late_blight,19.12,94.21,6.27,98.12
Tomato___Late_blight,23.73,95.54,5.84,104.05
Tomato___Late_blight,19.15,93.03,6.3,93.71
Tomato___Late_blight,17.94,92.63,6.16,122.97
Tomato___Late_blight,20.07,92.48,6.33,101.17
Tomato___Late_blight,20.21,88.75,6.06,85.65
Tomato___Late_blight,24.09,93.78,6.02,84.33
Tomato___Late_blight,21.66,91.86,6.21,99.55
Tomato___Late_blight,17.89,95.3,6.3,90.91
Tomato___Late_blight,20.64,93.7,6.25,114.8
Tomato___Late_blight,18.0,94.49,6.51,71.87
Tomato___Late_blight,19.52,97.23,5.98,109.21
Tomato___Late_blight,15.82,96.83,6.28,95.53
Tomato___Late_blight,17.77,97.63,6.21,103.2
Tomato___Late_blight,18.89,96.72,6.13,98.72
Tomato___Late_blight,20.41,91.67,5.99,109.55
Tomato___Late_blight,20.08,100.0,6.42,91.89
Tomato___Late_blight,20.69,94.06,6.27,97.37
Tomato___Late_blight,17.81,94.37,6.03,93.54
Tomato___Late_blight,19.47,89.91,6.38,106.88
Tomato___Late_blight,18.46,95.52,6.2,84.41
Tomato___Late_blight,21.08,97.23,6.14,108.61
Tomato___Late_blight,21.02,96.06,6.07,106.78
Tomato___Late_blight,15.94,94.77,6.15,106.84
Tomato___Late_blight,19.09,90.51,6.28,76.93
Tomato___Late_blight,16.14,93.33,6.15,115.63
Tomato___Late_blight,19.15,91.81,6.17,103.27
Tomato___Late_blight,19.16,90.36,6.32,111.47
Tomato___Late_blight,18.71,91.07,6.22,106.25
Tomato___Late_blight,19.55,93.09,6.27,96.85
Tomato___Late_blight,18.77,92.42,6.18,95.26
Tomato___Late_blight,17.63,94.5,6.5,88.67
Tomato___Late_blight,20.24,92.24,6.09,104.78
Tomato___Late_blight,19.12,92.13,6.01,95.95
Tomato___Late_blight,17.82,95.38,6.04,81.18
Tomato___Late_blight,19.63,96.86,6.21,96.66
Tomato___Late_blight,16.2,98.3,6.02,107.4
Tomato___Late_blight,19.61,93.99,6.18,85.85
Tomato___Late_blight,21.36,94.31,5.99,84.51
Tomato___Late_blight,15.63,90.79,6.35,91.06
Tomato___Late_blight,20.62,90.49,6.08,103.68
Tomato___Late_blight,23.06,92.94,6.31,99.21
Tomato___Late_blight,20.05,98.24,6.2,102.03
Tomato___Late_blight,22.58,94.23,6.09,101.88
Tomato___Late_blight,20.07,96.73,6.05,97.53
Tomato___Late_blight,15.85,93.63,6.32,85.1
Tomato___Late_blight,20.08,90.54,6.34,105.51
Tomato___Late_blight,20.31,94.02,6.2,98.43
Tomato___Late_blight,17.81,96.53,6.36,83.27
Tomato___Late_blight,18.01,99.03,6.04,101.09
Tomato___Late_blight,18.43,94.61,5.76,107.66
Tomato___Late_blight,18.33,95.47,5.92,90.78
Tomato___Late_blight,16.91,97.32,6.28,113.59
Tomato___Late_blight,17.89,94.29,6.71,95.45
Tomato___Late_blight,21.14,97.47,6.09,100.19
Tomato___Late_blight,18.96,95.19,6.54,98.9
Tomato___Late_blight,16.9,95.27,6.46,82.43
Tomato___Late_blight,16.91,93.39,6.18,115.27
Tomato___Late_blight,17.8,96.12,5.96,98.29
Tomato___Late_blight,16.25,93.4,5.89,109.42
Tomato___Late_blight,21.72,93.63,6.27,90.75
Tomato___Late_blight,19.19,91.28,5.86,126.91
Tomato___Late_blight,22.3,95.36,6.17,105.69
Tomato___Late_blight,21.31,96.07,6.01,105.36
Tomato___Late_blight,21.96,85.89,6.23,125.41
Tomato___Late_blight,17.31,91.47,6.21,108.02
Tomato___Late_blight,19.93,92.44,6.24,95.51
Tomato___Late_blight,16.15,87.32,6.53,88.11
Tomato___Late_blight,21.08,95.05,5.82,103.32
Tomato___Late_blight,17.54,91.52,6.06,99.23
Tomato___Late_blight,18.14,94.89,6.29,86.54
Tomato___Late_blight,18.56,94.69,6.09,93.52
Tomato___Late_blight,19.62,87.25,6.05,91.49
Tomato___Late_blight,18.63,96.68,6.33,102.01
Tomato___Late_blight,20.21,100.0,5.94,104.4
Tomato___Late_blight,17.75,95.97,6.18,100.28
Tomato___Late_blight,20.51,95.38,6.63,104.4
